problem_id,n,m,seed,greedy_objective,greedy_time,greedy_feasible,greedy_z_count,greedy_x_total,milp_objective,milp_time,milp_feasible,milp_z_count,milp_x_total,brute_force_objective,brute_force_time,brute_force_feasible,brute_force_z_count,brute_force_x_total,genetic_objective,genetic_time,genetic_feasible,genetic_z_count,genetic_x_total
P1_S1,10,5,0,1101.4718002572884,0.0008881092071533203,True,4,389,1226.4718002572884,0.0106048583984375,True,4,414,1226.4718002572884,0.2064352035522461,True,4,414,1226.4718002572884,10.957699537277222,True,4,414
P1_S10,10,5,9,1337.185822837436,0.0016434192657470703,True,4,430,1898.5521021756172,0.013911008834838867,True,5,607,1898.5521021756178,0.3406987190246582,True,5,650,1898.5521021756178,12.224668741226196,True,5,650
P1_S2,10,5,1,1145.0405110887982,0.0015769004821777344,True,3,405,1328.082827040405,0.013956069946289062,True,4,462,1328.082827040405,0.3296191692352295,True,4,462,1328.082827040405,11.314050912857056,True,4,462
P1_S3,10,5,2,1391.8765182409015,0.0015826225280761719,True,5,395,1391.8765182409015,0.013915538787841797,True,5,397,1391.8765182409015,0.3305966854095459,True,5,420,1391.8765182409015,12.12743353843689,True,5,420
P1_S4,10,5,3,1124.1199920477686,0.0015091896057128906,True,5,419,1279.1199920477688,0.012593984603881836,True,5,450,1279.1199920477686,0.33672261238098145,True,5,510,1279.1199920477686,11.332490921020508,True,5,510
P1_S5,10,5,4,899.0103923202873,0.0014214515686035156,True,3,353,1019.7173881989912,0.014302968978881836,True,3,428,1019.7173881989911,0.32688093185424805,True,3,450,1019.7173881989911,11.524570226669312,True,3,450
P1_S6,10,5,5,1087.4035054271112,0.0014634132385253906,True,4,344,1312.665444541661,0.013842105865478516,True,5,452,1312.6654445416607,0.33763885498046875,True,5,542,1312.6654445416607,11.111639261245728,True,5,542
P1_S7,10,5,6,1360.0618225745902,0.0015811920166015625,True,4,467,1520.0618225745902,0.016611099243164062,True,4,499,1520.0618225745902,0.3410499095916748,True,4,539,1520.0618225745902,11.362176179885864,True,4,539
P1_S8,10,5,7,918.0217500996819,0.0016241073608398438,True,4,350,1058.0217500996819,0.012535572052001953,True,4,378,1058.0217500996819,0.31275415420532227,True,4,426,1058.0217500996819,10.851335287094116,True,4,426
P1_S9,10,5,8,877.75093079318,0.0014264583587646484,True,4,385,877.7509307931801,0.011945724487304688,True,4,385,877.75093079318,0.32800841331481934,True,4,488,877.75093079318,10.636958599090576,True,4,488
P2_S1,15,8,100,2197.4162325397847,0.0036177635192871094,True,6,715,2459.3181753465587,0.02147531509399414,True,7,809,2459.3181753465587,3.0862154960632324,True,7,814,2459.3181753465587,20.318905115127563,True,7,814
P2_S10,15,8,109,1924.9975975441712,0.004258632659912109,True,7,638,1949.997597544171,0.020885467529296875,True,7,643,1949.9975975441712,3.6548190116882324,True,7,643,1949.9975975441712,20.98919367790222,True,7,643
P2_S2,15,8,101,1586.1256866130075,0.003820657730102539,True,6,509,1984.0088835832757,0.020302534103393555,True,8,688,1984.0088835832757,3.89469313621521,True,8,779,1984.0088835832757,19.300336360931396,True,8,779
